"","gene_id","n"
"520","ENSG00000111229",4
"521","ENSG00000111275",3
"522","ENSG00000111328",4
"523","ENSG00000111371",2
"524","ENSG00000111639",2
"525","ENSG00000111640",4
"526","ENSG00000111669",4
"527","ENSG00000111674",4
"528","ENSG00000111678",2
"529","ENSG00000111696",3
"530","ENSG00000111716",4
"531","ENSG00000111726",4
"532","ENSG00000111775",4
"533","ENSG00000111885",2
"534","ENSG00000111897",4
"535","ENSG00000111912",3
"536","ENSG00000112081",2
"537","ENSG00000112096",4
"538","ENSG00000112137",4
"539","ENSG00000112146",2
"540","ENSG00000112186",4
"541","ENSG00000112290",4
"542","ENSG00000112306",4
"543","ENSG00000112309",4
"544","ENSG00000112335",4
"545","ENSG00000112379",2
"546","ENSG00000112514",4
"547","ENSG00000112531",4
"548","ENSG00000112695",4
"549","ENSG00000112697",4
"550","ENSG00000112902",4
"551","ENSG00000112972",4
"552","ENSG00000113013",2
"553","ENSG00000113140",4
"554","ENSG00000113161",3
"555","ENSG00000113269",2
"556","ENSG00000113319",2
"557","ENSG00000113327",4
"558","ENSG00000113387",4
"559","ENSG00000113558",4
"560","ENSG00000113575",4
"561","ENSG00000113578",4
"562","ENSG00000113758",2
"563","ENSG00000113763",2
"564","ENSG00000113811",2
"565","ENSG00000114023",3
"566","ENSG00000114115",2
"567","ENSG00000114125",3
"568","ENSG00000114383",4
"569","ENSG00000114391",4
"570","ENSG00000114544",2
"571","ENSG00000114554",2
"572","ENSG00000114573",4
"573","ENSG00000114626",2
"574","ENSG00000114631",4
"575","ENSG00000114784",3
"576","ENSG00000114902",3
"577","ENSG00000114923",2
"578","ENSG00000114942",2
"579","ENSG00000114948",2
"580","ENSG00000115194",3
"581","ENSG00000115252",2
"582","ENSG00000115268",4
"583","ENSG00000115286",3
"584","ENSG00000115306",3
"585","ENSG00000115310",4
"586","ENSG00000115365",4
"587","ENSG00000115380",2
"588","ENSG00000115419",4
"589","ENSG00000115461",3
"590","ENSG00000115468",3
"591","ENSG00000115484",3
"592","ENSG00000115541",4
"593","ENSG00000115641",2
"594","ENSG00000115694",2
"595","ENSG00000115738",3
"596","ENSG00000115756",4
"597","ENSG00000115762",4
"598","ENSG00000115875",2
"599","ENSG00000115944",4
"600","ENSG00000115977",4
"601","ENSG00000116030",3
"602","ENSG00000116106",4
"603","ENSG00000116133",4
"604","ENSG00000116161",4
"605","ENSG00000116209",3
"606","ENSG00000116251",4
"607","ENSG00000116254",3
"608","ENSG00000116260",2
"609","ENSG00000116288",4
"610","ENSG00000116337",2
"611","ENSG00000116396",2
"612","ENSG00000116459",4
"613","ENSG00000116574",3
"614","ENSG00000116604",2
"615","ENSG00000116649",3
"616","ENSG00000116661",4
"617","ENSG00000116675",4
"618","ENSG00000116741",2
"619","ENSG00000116752",2
"620","ENSG00000116857",4
"621","ENSG00000116871",2
"622","ENSG00000116983",4
"623","ENSG00000117069",3
"624","ENSG00000117115",2
"625","ENSG00000117152",3
"626","ENSG00000117154",3
"627","ENSG00000117155",2
"628","ENSG00000117266",2
"629","ENSG00000117318",3
"630","ENSG00000117410",4
"631","ENSG00000117419",4
"632","ENSG00000117450",4
"633","ENSG00000117519",3
"634","ENSG00000117592",4
"635","ENSG00000117600",4
"636","ENSG00000117616",3
"637","ENSG00000117632",4
"638","ENSG00000117691",4
"639","ENSG00000117906",4
"640","ENSG00000117984",3
"641","ENSG00000118160",4
"642","ENSG00000118181",4
"643","ENSG00000118194",3
"644","ENSG00000118200",3
"645","ENSG00000118257",2
"646","ENSG00000118271",3
"647","ENSG00000118276",3
"648","ENSG00000118402",2
"649","ENSG00000118418",3
"650","ENSG00000118432",4
"651","ENSG00000118473",2
"652","ENSG00000118515",2
"653","ENSG00000118680",4
"654","ENSG00000118785",4
"655","ENSG00000118816",2
"656","ENSG00000118971",3
"657","ENSG00000119013",3
"658","ENSG00000119048",3
"659","ENSG00000119125",4
"660","ENSG00000119139",3
"661","ENSG00000119242",4
"662","ENSG00000119280",2
"663","ENSG00000119318",3
"664","ENSG00000119421",4
"665","ENSG00000119655",2
"666","ENSG00000119698",2
"667","ENSG00000119705",3
"668","ENSG00000119782",4
"669","ENSG00000119801",4
"670","ENSG00000119865",4
"671","ENSG00000119866",2
"672","ENSG00000119900",4
