"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000129757","ENSG00000129757","CDKN1C",583,836.75,4
"ENSG00000049089","ENSG00000049089","COL9A2",584,841,4
"ENSG00000046653","ENSG00000046653","GPM6B",585,843.5,4
"ENSG00000184602","ENSG00000184602","SNN",586,847.75,4
"ENSG00000078328","ENSG00000078328","RBFOX1",587,849.5,4
"ENSG00000165566","ENSG00000165566","AMER2",588,849.75,4
"ENSG00000120694","ENSG00000120694","HSPH1",589,850.5,4
"ENSG00000109472","ENSG00000109472","CPE",590.5,851,4
"ENSG00000213585","ENSG00000213585","VDAC1",590.5,851,4
"ENSG00000148671","ENSG00000148671","ADIRF",592,851.25,4
"ENSG00000136099","ENSG00000136099","PCDH8",593,852.5,4
"ENSG00000118194","ENSG00000118194","TNNT2",594,853,4
"ENSG00000176381","ENSG00000176381","PRR18",595,854.75,4
"ENSG00000061676","ENSG00000061676","NCKAP1",596,855,4
"ENSG00000251562","ENSG00000251562","MALAT1",597.5,855.5,3
"ENSG00000266402","ENSG00000266402","SNHG25",597.5,855.5,4
"ENSG00000177879","ENSG00000177879","AP3S1",599.5,856.75,4
"ENSG00000111674","ENSG00000111674","ENO2",599.5,856.75,4
"ENSG00000064393","ENSG00000064393","HIPK2",601,858,4
"ENSG00000106367","ENSG00000106367","AP1S1",602,859.5,4
"ENSG00000185760","ENSG00000185760","KCNQ5",603,860.75,4
"ENSG00000250479","ENSG00000250479","CHCHD10",604,861,4
"ENSG00000104529","ENSG00000104529","EEF1D",605,861.5,4
"ENSG00000197586","ENSG00000197586","ENTPD6",606,863,4
"ENSG00000105376","ENSG00000105376","ICAM5",607,865.75,4
"ENSG00000172428","ENSG00000172428","COPS9",608,866.25,4
"ENSG00000241360","ENSG00000241360","PDXP",609,867,4
"ENSG00000069424","ENSG00000069424","KCNAB2",610,868.25,4
"ENSG00000169567","ENSG00000169567","HINT1",611,869.25,4
"ENSG00000152332","ENSG00000152332","UHMK1",612.5,870.5,4
"ENSG00000184076","ENSG00000184076","UQCR10",612.5,870.5,4
"ENSG00000100146","ENSG00000100146","SOX10",614,871.75,4
"ENSG00000049245","ENSG00000049245","VAMP3",615,872.75,4
"ENSG00000185668","ENSG00000185668","POU3F1",616,875.5,4
"ENSG00000100167","ENSG00000100167","SEPTIN3",617,876,4
"ENSG00000090097","ENSG00000090097","PCBP4",618,876.75,4
"ENSG00000172809","ENSG00000172809","RPL38",619,881,4
"ENSG00000157827","ENSG00000157827","FMNL2",620.5,882.5,4
"ENSG00000089157","ENSG00000089157","RPLP0",620.5,882.5,4
"ENSG00000117450","ENSG00000117450","PRDX1",622,884.5,4
"ENSG00000138435","ENSG00000138435","CHRNA1",623,885.25,4
"ENSG00000166619","ENSG00000166619","BLCAP",624,887,4
"ENSG00000106236","ENSG00000106236","NPTX2",625,888,4
"ENSG00000067829","ENSG00000067829","IDH3G",626,889.25,4
"ENSG00000241553","ENSG00000241553","ARPC4",627.5,890.75,3
"ENSG00000175175","ENSG00000175175","PPM1E",627.5,890.75,4
"ENSG00000171858","ENSG00000171858","RPS21",629,891,4
"ENSG00000086205","ENSG00000086205","FOLH1",630.5,891.5,4
"ENSG00000105519","ENSG00000105519","CAPS",630.5,891.5,3
"ENSG00000185352","ENSG00000185352","HS6ST3",632,892.75,4
"ENSG00000105402","ENSG00000105402","NAPA",633,895,4
"ENSG00000122406","ENSG00000122406","RPL5",634.5,895.75,4
"ENSG00000006125","ENSG00000006125","AP2B1",634.5,895.75,4
"ENSG00000132535","ENSG00000132535","DLG4",636.5,896.5,4
"ENSG00000189159","ENSG00000189159","JPT1",636.5,896.5,4
"ENSG00000165802","ENSG00000165802","NSMF",638,896.75,4
"ENSG00000152910","ENSG00000152910","CNTNAP4",639,897,4
"ENSG00000042753","ENSG00000042753","AP2S1",640,897.5,4
"ENSG00000081803","ENSG00000081803","CADPS2",641,898.25,4
"ENSG00000123349","ENSG00000123349","PFDN5",642,899,4
"ENSG00000155093","ENSG00000155093","PTPRN2",643,901.5,4
"ENSG00000092096","ENSG00000092096","SLC22A17",644.5,902.5,4
"ENSG00000002586","ENSG00000002586","CD99",644.5,902.5,3
"ENSG00000008118","ENSG00000008118","CAMK1G",646.5,903,4
"ENSG00000105270","ENSG00000105270","CLIP3",646.5,903,4
"ENSG00000170579","ENSG00000170579","DLGAP1",648,904.25,4
"ENSG00000158747","ENSG00000158747","NBL1",649,906,4
"ENSG00000165476","ENSG00000165476","REEP3",650,906.75,4
"ENSG00000165868","ENSG00000165868","HSPA12A",651,907,4
"ENSG00000083845","ENSG00000083845","RPS5",652,907.5,4
"ENSG00000134287","ENSG00000134287","ARF3",653,908,4
"ENSG00000162734","ENSG00000162734","PEA15",654,909,4
"ENSG00000163618","ENSG00000163618","CADPS",655.5,910.75,4
"ENSG00000055163","ENSG00000055163","CYFIP2",655.5,910.75,4
"ENSG00000162244","ENSG00000162244","RPL29",657,911.25,4
"ENSG00000130226","ENSG00000130226","DPP6",658,911.75,4
"ENSG00000162073","ENSG00000162073","PAQR4",659,914.5,4
"ENSG00000100842","ENSG00000100842","EFS",660,914.75,4
"ENSG00000135709","ENSG00000135709","KIAA0513",661,915.75,4
"ENSG00000071082","ENSG00000071082","RPL31",662,917.25,4
"ENSG00000183662","ENSG00000183662","TAFA1",663.5,917.5,4
"ENSG00000280165","ENSG00000280165","PCDH20",663.5,917.5,4
"ENSG00000079215","ENSG00000079215","SLC1A3",665,917.75,4
"ENSG00000169116","ENSG00000169116","PARM1",666.5,918.75,4
"ENSG00000145730","ENSG00000145730","PAM",666.5,918.75,4
"ENSG00000198835","ENSG00000198835","GJC2",668,919,4
"ENSG00000101327","ENSG00000101327","PDYN",669,919.75,4
"ENSG00000204580","ENSG00000204580","DDR1",670.5,921.5,4
"ENSG00000110651","ENSG00000110651","CD81",670.5,921.5,4
"ENSG00000134825","ENSG00000134825","TMEM258",672,921.75,4
"ENSG00000169020","ENSG00000169020","ATP5ME",673.5,924.5,4
"ENSG00000100997","ENSG00000100997","ABHD12",673.5,924.5,4
"ENSG00000245910","ENSG00000245910","SNHG6",675,926.75,4
"ENSG00000159363","ENSG00000159363","ATP13A2",676,928.25,4
"ENSG00000107130","ENSG00000107130","NCS1",677,930,4
"ENSG00000152503","ENSG00000152503","TRIM36",678,932.75,4
"ENSG00000130208","ENSG00000130208","APOC1",679,935,4
"ENSG00000099365","ENSG00000099365","STX1B",680,935.25,4
"ENSG00000186297","ENSG00000186297","GABRA5",681,936.5,4
"ENSG00000164112","ENSG00000164112","TMEM155",682,939,4
"ENSG00000130822","ENSG00000130822","PNCK",683,939.25,4
"ENSG00000129422","ENSG00000129422","MTUS1",684,939.75,4
"ENSG00000150995","ENSG00000150995","ITPR1",685.5,941,4
"ENSG00000133627","ENSG00000133627","ACTR3B",685.5,941,4
"ENSG00000142534","ENSG00000142534","RPS11",687,941.75,4
"ENSG00000166111","ENSG00000166111","SVOP",688.5,942.5,4
