"gene_id","gene_name","overall_rank","average_rank","n_withinTop1000"
"ENSMUSG00000029599","Ddx54",624,650,3
"ENSMUSG00000029370","Rassf6",625,651,3
"ENSMUSG00000017716","Birc5",626,652,3
"ENSMUSG00000032280","Tle3",627,655.666666666667,3
"ENSMUSG00000069814","Ccdc92b",628,657,3
"ENSMUSG00000029804","Herc3",629.5,660.333333333333,3
"ENSMUSG00000044453","Ffar1",629.5,660.333333333333,3
"ENSMUSG00000060675","Plaat3",631,662.666666666667,3
"ENSMUSG00000026463","Atp2b4",632.5,663.333333333333,3
"ENSMUSG00000002111","Spi1",632.5,663.333333333333,3
"ENSMUSG00000000915","Hip1r",634,664,3
"ENSMUSG00000030207","Fam234b",635,664.333333333333,3
"ENSMUSG00000076490","Trbc1",636,665,3
"ENSMUSG00000002668","Dennd1c",637,666,3
"ENSMUSG00000001248","Gramd1a",638,666.666666666667,3
"ENSMUSG00000020272","Stk10",639,669.666666666667,3
"ENSMUSG00000023947","Nfkbie",640,670,3
"ENSMUSG00000029642","Polr1d",641,671,3
"ENSMUSG00000029722","Agfg2",642,671.333333333333,3
"ENSMUSG00000034595","Ppp1r18",643,672,3
"ENSMUSG00000001014","Icam4",644,672.666666666667,3
"ENSMUSG00000035273","Hpse",645,673,3
"ENSMUSG00000034724","Cnot6l",646,675.333333333333,3
"ENSMUSG00000098112","Bin2",647,675.666666666667,3
"ENSMUSG00000038623","Tm6sf1",648,676.333333333333,3
"ENSMUSG00000050350","Gpr18",649,678.333333333333,3
"ENSMUSG00000019188","H13",650.5,680.666666666667,3
"ENSMUSG00000024402","Lta",650.5,680.666666666667,3
"ENSMUSG00000036718","Micall2",652,681,3
"ENSMUSG00000027863","Cd2",653,683,3
"ENSMUSG00000032519","Slc25a38",654,683.333333333333,3
"ENSMUSG00000075704","Txnrd2",655,686.333333333333,3
"ENSMUSG00000071669","Snx29",656,686.666666666667,3
"ENSMUSG00000027248","Pdia3",657,688.666666666667,3
"ENSMUSG00000026637","Traf5",658,690.333333333333,3
"ENSMUSG00000040345","Arhgap9",660,691.333333333333,3
"ENSMUSG00000058587","Tmod3",661.5,691.666666666667,3
"ENSMUSG00000076916","Traj13",661.5,691.666666666667,2
"ENSMUSG00000028015","Ctso",663,692,3
"ENSMUSG00000056025","Clca3a1",664,694,3
"ENSMUSG00000055675","Kbtbd11",665,694.666666666667,3
"ENSMUSG00000076922","Traj6",666,695.666666666667,3
"ENSMUSG00000045629","Sh3tc2",667,696,3
"ENSMUSG00000032698","Lmo2",668,696.333333333333,3
"ENSMUSG00000026496","Parp1",669,696.666666666667,3
"ENSMUSG00000020476","Dbnl",670,697,3
"ENSMUSG00000038943","Prc1",671,697.666666666667,3
"ENSMUSG00000025279","Dnase1l3",672,699.333333333333,3
"ENSMUSG00000005057","Sh2b2",673,700,3
"ENSMUSG00000025026","Add3",674,702,3
"ENSMUSG00000053819","Camk2d",675,703,3
"ENSMUSG00000046223","Plaur",676,704,3
"ENSMUSG00000045973","Slc25a51",677,706.333333333333,3
"ENSMUSG00000013787","Ehmt2",678,707,3
"ENSMUSG00000039395","Mreg",679,708.333333333333,3
"ENSMUSG00000026311","Asb1",680,709,3
"ENSMUSG00000026222","Sp100",681,709.666666666667,3
"ENSMUSG00000004032","Gstm5",682,710.333333333333,3
"ENSMUSG00000044927","H1fx",683,711,3
"ENSMUSG00000027523","Gnas",684,712,3
"ENSMUSG00000037788","Vopp1",685.5,712.666666666667,3
"ENSMUSG00000002257","Def6",685.5,712.666666666667,3
"ENSMUSG00000008393","Carhsp1",687,715,3
"ENSMUSG00000024856","Cdk2ap2",688,715.333333333333,3
"ENSMUSG00000027408","Cpxm1",689,716.333333333333,3
"ENSMUSG00000000861","Bcl11a",690,718.333333333333,3
"ENSMUSG00000032221","Mns1",691,719.333333333333,3
"ENSMUSG00000017679","Ttpal",692,721.333333333333,3
"ENSMUSG00000037940","Inpp4b",693,721.666666666667,3
"ENSMUSG00000032413","Rasa2",694,724.666666666667,3
"ENSMUSG00000076909","Traj20",695,725.666666666667,3
"ENSMUSG00000042524","Sun2",696,726,3
"ENSMUSG00000020612","Prkar1a",697,727.333333333333,2
"ENSMUSG00000031133","Arhgef6",698,728,3
"ENSMUSG00000042978","Sbk1",699,729.666666666667,3
"ENSMUSG00000034593","Myo5a",700,730,3
"ENSMUSG00000045763","Basp1",701,732.333333333333,3
"ENSMUSG00000031328","Flna",702,732.666666666667,3
"ENSMUSG00000020484","Xbp1",703,733.666666666667,3
"ENSMUSG00000020310","Madcam1",704,734.666666666667,3
"ENSMUSG00000042613","Pbxip1",705,735.333333333333,3
"ENSMUSG00000032009","Sesn3",706.5,737.666666666667,3
"ENSMUSG00000076907","Traj22",706.5,737.666666666667,2
"ENSMUSG00000024158","Hagh",708,738.333333333333,3
"ENSMUSG00000031093","Dock11",709,739.333333333333,3
"ENSMUSG00000002603","Tgfb1",710,740,2
"ENSMUSG00000028931","Kcnab2",711,744,3
"ENSMUSG00000024053","Emilin2",712,744.333333333333,3
"ENSMUSG00000022498","Txndc11",713,745,3
"ENSMUSG00000041740","Rnf10",714,747.666666666667,3
"ENSMUSG00000002068","Ccne1",715,748,2
"ENSMUSG00000076914","Traj15",716,755.333333333333,2
"ENSMUSG00000032093","Cd3e",717,756,3
"ENSMUSG00000038037","Socs1",718,757.333333333333,3
"ENSMUSG00000003199","Mpnd",719,757.666666666667,3
"ENSMUSG00000030269","Mtmr14",720,758.333333333333,3
"ENSMUSG00000042742","Bmt2",721,759.666666666667,3
"ENSMUSG00000021384","Susd3",722,761,3
"ENSMUSG00000055805","Fmnl1",723,761.333333333333,3
"ENSMUSG00000064373","Selenop",724,765.333333333333,3
"ENSMUSG00000028799","Zfp362",725,766.333333333333,3
"ENSMUSG00000026430","Rassf5",726.5,767.333333333333,3
"ENSMUSG00000020700","Map3k3",726.5,767.333333333333,3
"ENSMUSG00000028545","Bend5",728,768.666666666667,3
"ENSMUSG00000032436","Cmtm7",729,769.666666666667,3
"ENSMUSG00000061353","Cxcl12",730,771,3
"ENSMUSG00000015501","Hivep2",731,771.333333333333,3
"ENSMUSG00000026623","Lpgat1",732.5,771.666666666667,3
"ENSMUSG00000091803","Cox16",732.5,771.666666666667,3
"ENSMUSG00000020900","Myh10",734,772,2
"ENSMUSG00000023008","Fmnl3",735,774.333333333333,3
"ENSMUSG00000074227","Spint2",736,774.666666666667,3
"ENSMUSG00000020640","Itsn2",737,775.333333333333,3
"ENSMUSG00000029449","Rhof",738,776,3
"ENSMUSG00000044352","Sowaha",739,776.666666666667,2
"ENSMUSG00000002897","Il17ra",740,777,3
"ENSMUSG00000039384","Dusp10",741,779.333333333333,3
"ENSMUSG00000002107","Celf2",742,782.666666666667,3
"ENSMUSG00000032218","Ccnb2",743,783.666666666667,3
"ENSMUSG00000017697","Ada",744,786,3
"ENSMUSG00000020547","Bzw2",745,786.666666666667,3
"ENSMUSG00000073409","H2-Q6",746,788.666666666667,3
"ENSMUSG00000032902","Slc16a1",747,789.333333333333,3
"ENSMUSG00000038264","Sema7a",748,789.666666666667,3
"ENSMUSG00000000782","Tcf7",749,790.333333333333,2
"ENSMUSG00000018008","Cyth4",750,791.333333333333,2
"ENSMUSG00000018677","Slc25a39",751,791.666666666667,3
"ENSMUSG00000057738","Sptan1",752,792,3
"ENSMUSG00000057135","Scimp",753,793.333333333333,3
"ENSMUSG00000002007","Srpk3",754,793.666666666667,3
"ENSMUSG00000043505","Gimap5",755,794,3
"ENSMUSG00000026317","Cln8",756,795,3
"ENSMUSG00000023328","Ache",757,796.333333333333,2
"ENSMUSG00000038725","Pkhd1l1",759,797,3
"ENSMUSG00000081534","Slc48a1",759,797,3
"ENSMUSG00000024646","Cyb5a",759,797,3
"ENSMUSG00000026027","Stradb",761,798.666666666667,3
"ENSMUSG00000076924","Traj4",762,799.333333333333,3
"ENSMUSG00000022594","Lynx1",763,800,3
"ENSMUSG00000003882","Il7r",764,801,2
"ENSMUSG00000022439","Parvg",765,801.333333333333,3
"ENSMUSG00000032231","Anxa2",766.5,802.666666666667,3
"ENSMUSG00000021277","Traf3",766.5,802.666666666667,3
"ENSMUSG00000020358","Hnrnpab",768.5,806.666666666667,3
"ENSMUSG00000078763","Slfn1",768.5,806.666666666667,2
"ENSMUSG00000026389","Steap3",770,807.333333333333,3
"ENSMUSG00000030655","Smg1",771,809.333333333333,3
"ENSMUSG00000020696","Rffl",772,809.666666666667,3
"ENSMUSG00000009687","Fxyd5",773.5,810.333333333333,2
"ENSMUSG00000046034","Otulin",773.5,810.333333333333,3
"ENSMUSG00000090231","Cfb",775,811.333333333333,3
"ENSMUSG00000041890","Git2",776.5,812,2
"ENSMUSG00000022957","Itsn1",776.5,812,2
"ENSMUSG00000030218","Mgp",778,813.666666666667,2
"ENSMUSG00000030287","Itpr2",779.5,814,3
"ENSMUSG00000072235","Tuba1a",781,814.333333333333,3
"ENSMUSG00000034994","Eef2",782.5,814.666666666667,2
"ENSMUSG00000076906","Traj23",782.5,814.666666666667,2
"ENSMUSG00000035042","Ccl5",784.5,815.666666666667,3
"ENSMUSG00000025626","Phf6",784.5,815.666666666667,3
"ENSMUSG00000075033","Nxpe3",786,816,3
"ENSMUSG00000034445","Cyb561a3",787,816.333333333333,3
"ENSMUSG00000073418","C4b",788,818,3
"ENSMUSG00000076614","Ighg1",789,819,2
"ENSMUSG00000022443","Myh9",790,821,3
"ENSMUSG00000036461","Elf1",791,821.333333333333,2
"ENSMUSG00000019843","Fyn",792.5,821.666666666667,3
"ENSMUSG00000051748","Wfdc21",792.5,821.666666666667,3
"ENSMUSG00000031402","Mpp1",794,822.333333333333,2
"ENSMUSG00000007872","Id3",795.5,824.666666666667,2
"ENSMUSG00000029675","Eln",795.5,824.666666666667,2
"ENSMUSG00000053477","Tcf4",797,825.666666666667,3
